21:17:56.465 > ets Jun  8 2016 00:22:57
21:17:56.465 > 
21:17:56.465 > rst:0x1 (POWERON_RESET),boot:0x13 (SPI_FAST_FLASH_BOOT)
21:17:56.465 > configsip: 0, SPIWP:0xee
21:17:56.465 > clk_drv:0x00,q_drv:0x00,d_drv:0x00,cs0_drv:0x00,hd_drv:0x00,wp_drv:0x00
21:17:56.465 > mode:DIO, clock div:2
21:17:56.465 > load:0x3fff0030,len:1184
21:17:56.465 > load:0x40078000,len:13192
21:17:56.465 > load:0x40080400,len:3028
21:17:56.465 > entry 0x400805e4
21:17:56.465 > [    53][E][Wire.cpp:422] beginTransmission(): could not acquire lock
21:17:56.465 > [    54][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:17:56.465 > [    54][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:17:56.465 > [    59][E][Wire.cpp:448] endTransmission(): NULL TX buffer pointer
21:17:56.465 > [    65][E][Wire.cpp:422] beginTransmission(): could not acquire lock
21:17:56.465 > [    71][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:17:56.465 > [    76][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:17:56.465 > [    81][E][Wire.cpp:448] endTransmission(): NULL TX buffer pointer
21:17:56.465 > [    87][E][Wire.cpp:422] beginTransmission(): could not acquire lock
21:17:56.465 > [    93][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:17:56.465 > [    98][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:17:56.465 > [   103][E][Wire.cpp:448] endTransmission(): NULL TX buffer pointer
21:17:56.465 > [   109][E][Wire.cpp:422] beginTransmission(): could not acquire lock
21:17:56.465 > [   116][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:17:56.465 > [   121][E][Wire.cpp:448] endTransmission(): NULL TX buffer pointer
21:17:56.465 > [   127][E][Wire.cpp:481] requestFrom(): NULL buffer pointer
21:17:56.465 > [   132][E][Wire.cpp:422] beginTransmission(): could not acquire lock
21:17:56.465 > [   138][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:17:56.465 > [   143][E][Wire.cpp:448] endTransmission(): NULL TX buffer pointer
21:17:56.465 > [   149][E][Wire.cpp:481] requestFrom(): NULL buffer pointer
21:17:56.465 > [   155][E][Wire.cpp:422] beginTransmission(): could not acquire lock
21:17:56.465 > [   161][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:17:56.465 > [   166][E][Wire.cpp:448] endTransmission(): NULL TX buffer pointer
21:17:56.465 > [   172][E][Wire.cpp:481] requestFrom(): NULL buffer pointer
21:17:56.465 > [   177][E][Wire.cpp:422] beginTransmission(): could not acquire lock
21:17:56.465 > [   184][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:17:56.465 > [   189][E][Wire.cpp:448] endTransmission(): NULL TX buffer pointer
21:17:56.465 > [   195][E][Wire.cpp:481] requestFrom(): NULL buffer pointer
21:17:56.465 > [   200][E][Wire.cpp:422] beginTransmission(): could not acquire lock
21:17:56.465 > [   206][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:17:56.465 > [   211][E][Wire.cpp:448] endTransmission(): NULL TX buffer pointer
21:17:56.465 > [   217][E][Wire.cpp:481] requestFrom(): NULL buffer pointer
21:17:56.465 > [   223][E][Wire.cpp:422] beginTransmission(): could not acquire lock
21:17:56.465 > [   229][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:17:56.465 > [   234][E][Wire.cpp:448] endTransmission(): NULL TX buffer pointer
21:17:56.465 > [   240][E][Wire.cpp:481] requestFrom(): NULL buffer pointer
21:17:56.465 > [   245][E][Wire.cpp:422] beginTransmission(): could not acquire lock
21:17:56.465 > [   251][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:17:56.465 > [   257][E][Wire.cpp:448] endTransmission(): NULL TX buffer pointer
21:17:56.465 > [   263][E][Wire.cpp:481] requestFrom(): NULL buffer pointer
21:17:56.465 > [   268][E][Wire.cpp:422] beginTransmission(): could not acquire lock
21:17:56.465 > [   274][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:17:56.465 > [   279][E][Wire.cpp:448] endTransmission(): NULL TX buffer pointer
21:17:56.465 > [   285][E][Wire.cpp:481] requestFrom(): NULL buffer pointer
21:17:56.465 > [   291][E][Wire.cpp:422] beginTransmission(): could not acquire lock
21:17:56.465 > [   297][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:17:56.465 > [   302][E][Wire.cpp:448] endTransmission(): NULL TX buffer pointer
21:17:56.465 > [   308][E][Wire.cpp:481] requestFrom(): NULL buffer pointer
21:17:56.465 > [   313][E][Wire.cpp:422] beginTransmission(): could not acquire lock
21:17:56.465 > [   319][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:17:56.465 > [   325][E][Wire.cpp:448] endTransmission(): NULL TX buffer pointer
21:17:56.465 > [   331][E][Wire.cpp:481] requestFrom(): NULL buffer pointer
21:17:56.465 > [   336][E][Wire.cpp:422] beginTransmission(): could not acquire lock
21:17:56.465 > [   342][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:17:56.465 > [   347][E][Wire.cpp:448] endTransmission(): NULL TX buffer pointer
21:17:56.465 > [   353][E][Wire.cpp:481] requestFrom(): NULL buffer pointer
21:17:56.465 > [   359][E][Wire.cpp:422] beginTransmission(): could not acquire lock
21:17:56.465 > [   365][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:17:56.465 > [   370][E][Wire.cpp:448] endTransmission(): NULL TX buffer pointer
21:17:56.465 > [   376][E][Wire.cpp:481] requestFrom(): NULL buffer pointer
21:17:56.465 > [   381][E][Wire.cpp:422] beginTransmission(): could not acquire lock
21:17:56.465 > [   387][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:17:56.465 > [   393][E][Wire.cpp:448] endTransmission(): NULL TX buffer pointer
21:17:56.465 > [   399][E][Wire.cpp:481] requestFrom(): NULL buffer pointer
21:17:56.465 > [   404][E][Wire.cpp:422] beginTransmission(): could not acquire lock
21:17:56.465 > [   410][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:17:56.465 > [   415][E][Wire.cpp:448] endTransmission(): NULL TX buffer pointer
21:17:56.465 > [   421][E][Wire.cpp:481] requestFrom(): NULL buffer pointer
21:17:56.465 > [   427][E][Wire.cpp:422] beginTransmission(): could not acquire lock
21:17:56.465 > [   433][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:17:56.465 > [   438][E][Wire.cpp:448] endTransmission(): NULL TX buffer pointer
21:17:56.465 > [   444][E][Wire.cpp:481] requestFrom(): NULL buffer pointer
21:17:56.465 > [   449][E][Wire.cpp:422] beginTransmission(): could not acquire lock
21:17:56.465 > [   455][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:17:56.465 > [   461][E][Wire.cpp:448] endTransmission(): NULL TX buffer pointer
21:17:56.465 > [   467][E][Wire.cpp:481] requestFrom(): NULL buffer pointer
21:17:56.465 > [   472][E][Wire.cpp:422] beginTransmission(): could not acquire lock
21:17:56.465 > [   478][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:17:56.465 > [   483][E][Wire.cpp:448] endTransmission(): NULL TX buffer pointer
21:17:56.465 > [   489][E][Wire.cpp:481] requestFrom(): NULL buffer pointer
21:17:56.465 > [   495][E][Wire.cpp:422] beginTransmission(): could not acquire lock
21:17:56.465 > [   501][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:17:56.465 > [   506][E][Wire.cpp:448] endTransmission(): NULL TX buffer pointer
21:17:56.465 > [   512][E][Wire.cpp:481] requestFrom(): NULL buffer pointer
21:17:56.465 > [   517][E][Wire.cpp:422] beginTransmission(): could not acquire lock
21:17:56.465 > [   523][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:17:56.465 > [   528][E][Wire.cpp:448] endTransmission(): NULL TX buffer pointer
21:17:56.465 > [   534][E][Wire.cpp:481] requestFrom(): NULL buffer pointer
