21:08:17.096 > ets Jun  8 2016 00:22:57
21:08:17.096 > 
21:08:17.096 > rst:0x1 (POWERON_RESET),boot:0x13 (SPI_FAST_FLASH_BOOT)
21:08:17.096 > configsip: 0, SPIWP:0xee
21:08:17.096 > clk_drv:0x00,q_drv:0x00,d_drv:0x00,cs0_drv:0x00,hd_drv:0x00,wp_drv:0x00
21:08:17.096 > mode:DIO, clock div:2
21:08:17.096 > load:0x3fff0030,len:1184
21:08:17.096 > load:0x40078000,len:13192
21:08:17.096 > load:0x40080400,len:3028
21:08:17.096 > entry 0x400805e4
21:08:17.096 > [    53][E][Wire.cpp:422] beginTransmission(): could not acquire lock
21:08:17.096 > [    54][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:08:17.096 > [    54][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:08:17.096 > [    59][E][Wire.cpp:448] endTransmission(): NULL TX buffer pointer
21:08:17.096 > [    65][E][Wire.cpp:422] beginTransmission(): could not acquire lock
21:08:17.096 > [    71][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:08:17.096 > [    76][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:08:17.096 > [    81][E][Wire.cpp:448] endTransmission(): NULL TX buffer pointer
21:08:17.096 > [    87][E][Wire.cpp:422] beginTransmission(): could not acquire lock
21:08:17.096 > [    93][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:08:17.096 > [    98][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:08:17.096 > [   104][E][Wire.cpp:448] endTransmission(): NULL TX buffer pointer
21:08:17.096 > [   110][E][Wire.cpp:422] beginTransmission(): could not acquire lock
21:08:17.096 > [   116][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:08:17.096 > [   121][E][Wire.cpp:448] endTransmission(): NULL TX buffer pointer
21:08:17.096 > [   127][E][Wire.cpp:481] requestFrom(): NULL buffer pointer
21:08:17.096 > [   132][E][Wire.cpp:422] beginTransmission(): could not acquire lock
21:08:17.096 > [   138][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:08:17.096 > [   143][E][Wire.cpp:448] endTransmission(): NULL TX buffer pointer
21:08:17.096 > [   149][E][Wire.cpp:481] requestFrom(): NULL buffer pointer
21:08:17.096 > [   155][E][Wire.cpp:422] beginTransmission(): could not acquire lock
21:08:17.096 > [   161][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:08:17.096 > [   166][E][Wire.cpp:448] endTransmission(): NULL TX buffer pointer
21:08:17.096 > [   172][E][Wire.cpp:481] requestFrom(): NULL buffer pointer
21:08:17.096 > [   177][E][Wire.cpp:422] beginTransmission(): could not acquire lock
21:08:17.096 > [   184][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:08:17.096 > [   189][E][Wire.cpp:448] endTransmission(): NULL TX buffer pointer
21:08:17.096 > [   195][E][Wire.cpp:481] requestFrom(): NULL buffer pointer
21:08:17.096 > [   200][E][Wire.cpp:422] beginTransmission(): could not acquire lock
21:08:17.096 > [   206][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:08:17.096 > [   211][E][Wire.cpp:448] endTransmission(): NULL TX buffer pointer
21:08:17.096 > [   217][E][Wire.cpp:481] requestFrom(): NULL buffer pointer
21:08:17.096 > [   223][E][Wire.cpp:422] beginTransmission(): could not acquire lock
21:08:17.096 > [   229][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:08:17.096 > [   234][E][Wire.cpp:448] endTransmission(): NULL TX buffer pointer
21:08:17.096 > [   240][E][Wire.cpp:481] requestFrom(): NULL buffer pointer
21:08:17.096 > [   245][E][Wire.cpp:422] beginTransmission(): could not acquire lock
21:08:17.096 > [   252][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:08:17.096 > [   257][E][Wire.cpp:448] endTransmission(): NULL TX buffer pointer
21:08:17.096 > [   263][E][Wire.cpp:481] requestFrom(): NULL buffer pointer
21:08:17.096 > [   268][E][Wire.cpp:422] beginTransmission(): could not acquire lock
21:08:17.096 > [   274][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:08:17.096 > [   279][E][Wire.cpp:448] endTransmission(): NULL TX buffer pointer
21:08:17.096 > [   285][E][Wire.cpp:481] requestFrom(): NULL buffer pointer
21:08:17.096 > [   291][E][Wire.cpp:422] beginTransmission(): could not acquire lock
21:08:17.096 > [   297][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:08:17.096 > [   302][E][Wire.cpp:448] endTransmission(): NULL TX buffer pointer
21:08:17.096 > [   308][E][Wire.cpp:481] requestFrom(): NULL buffer pointer
21:08:17.096 > [   313][E][Wire.cpp:422] beginTransmission(): could not acquire lock
21:08:17.096 > [   320][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:08:17.096 > [   325][E][Wire.cpp:448] endTransmission(): NULL TX buffer pointer
21:08:17.096 > [   331][E][Wire.cpp:481] requestFrom(): NULL buffer pointer
21:08:17.096 > [   336][E][Wire.cpp:422] beginTransmission(): could not acquire lock
21:08:17.096 > [   342][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:08:17.096 > [   347][E][Wire.cpp:448] endTransmission(): NULL TX buffer pointer
21:08:17.096 > [   353][E][Wire.cpp:481] requestFrom(): NULL buffer pointer
21:08:17.096 > [   359][E][Wire.cpp:422] beginTransmission(): could not acquire lock
21:08:17.096 > [   365][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:08:17.096 > [   370][E][Wire.cpp:448] endTransmission(): NULL TX buffer pointer
21:08:17.096 > [   376][E][Wire.cpp:481] requestFrom(): NULL buffer pointer
21:08:17.096 > [   381][E][Wire.cpp:422] beginTransmission(): could not acquire lock
21:08:17.096 > [   388][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:08:17.096 > [   393][E][Wire.cpp:448] endTransmission(): NULL TX buffer pointer
21:08:17.096 > [   399][E][Wire.cpp:481] requestFrom(): NULL buffer pointer
21:08:17.096 > [   404][E][Wire.cpp:422] beginTransmission(): could not acquire lock
21:08:17.096 > [   410][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:08:17.096 > [   415][E][Wire.cpp:448] endTransmission(): NULL TX buffer pointer
21:08:17.096 > [   421][E][Wire.cpp:481] requestFrom(): NULL buffer pointer
21:08:17.096 > [   427][E][Wire.cpp:422] beginTransmission(): could not acquire lock
21:08:17.096 > [   433][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:08:17.096 > [   438][E][Wire.cpp:448] endTransmission(): NULL TX buffer pointer
21:08:17.096 > [   444][E][Wire.cpp:481] requestFrom(): NULL buffer pointer
21:08:17.096 > [   449][E][Wire.cpp:422] beginTransmission(): could not acquire lock
21:08:17.096 > [   456][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:08:17.096 > [   461][E][Wire.cpp:448] endTransmission(): NULL TX buffer pointer
21:08:17.096 > [   467][E][Wire.cpp:481] requestFrom(): NULL buffer pointer
21:08:17.096 > [   472][E][Wire.cpp:422] beginTransmission(): could not acquire lock
21:08:17.096 > [   478][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:08:17.096 > [   483][E][Wire.cpp:448] endTransmission(): NULL TX buffer pointer
21:08:17.096 > [   489][E][Wire.cpp:481] requestFrom(): NULL buffer pointer
21:08:17.096 > [   495][E][Wire.cpp:422] beginTransmission(): could not acquire lock
21:08:17.096 > [   501][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:08:17.096 > [   506][E][Wire.cpp:448] endTransmission(): NULL TX buffer pointer
21:08:17.096 > [   512][E][Wire.cpp:481] requestFrom(): NULL buffer pointer
21:08:17.096 > [   517][E][Wire.cpp:422] beginTransmission(): could not acquire lock
21:08:17.096 > [   523][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:08:17.096 > [   529][E][Wire.cpp:448] endTransmission(): NULL TX buffer pointer
21:08:17.096 > [   535][E][Wire.cpp:481] requestFrom(): NULL buffer pointer
21:08:17.096 > [   540][E][Wire.cpp:422] beginTransmission(): could not acquire lock
21:08:17.096 > [   546][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:08:17.096 > [   551][E][Wire.cpp:448] endTransmission(): NULL TX buffer pointer
