21:22:24.009 > ets Jun  8 2016 00:22:57
21:22:24.009 > 
21:22:24.009 > rst:0x1 (POWERON_RESET),boot:0x13 (SPI_FAST_FLASH_BOOT)
21:22:24.009 > configsip: 0, SPIWP:0xee
21:22:24.009 > clk_drv:0x00,q_drv:0x00,d_drv:0x00,cs0_drv:0x00,hd_drv:0x00,wp_drv:0x00
21:22:24.009 > mode:DIO, clock div:2
21:22:24.009 > load:0x3fff0030,len:1184
21:22:24.009 > load:0x40078000,len:13192
21:22:24.009 > load:0x40080400,len:3028
21:22:24.009 > entry 0x400805e4
21:22:24.009 > [    53][E][Wire.cpp:422] beginTransmission(): could not acquire lock
21:22:24.009 > [    53][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:22:24.009 > [    54][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:22:24.009 > [    59][E][Wire.cpp:448] endTransmission(): NULL TX buffer pointer
21:22:24.009 > [    65][E][Wire.cpp:422] beginTransmission(): could not acquire lock
21:22:24.009 > [    71][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:22:24.009 > [    76][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:22:24.009 > [    81][E][Wire.cpp:448] endTransmission(): NULL TX buffer pointer
21:22:24.009 > [    87][E][Wire.cpp:422] beginTransmission(): could not acquire lock
21:22:24.009 > [    93][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:22:24.009 > [    98][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:22:24.009 > [   103][E][Wire.cpp:448] endTransmission(): NULL TX buffer pointer
21:22:24.009 > [   109][E][Wire.cpp:422] beginTransmission(): could not acquire lock
21:22:24.009 > [   116][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:22:24.009 > [   121][E][Wire.cpp:448] endTransmission(): NULL TX buffer pointer
21:22:24.009 > [   127][E][Wire.cpp:481] requestFrom(): NULL buffer pointer
21:22:24.009 > [   132][E][Wire.cpp:422] beginTransmission(): could not acquire lock
21:22:24.009 > [   138][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:22:24.009 > [   143][E][Wire.cpp:448] endTransmission(): NULL TX buffer pointer
21:22:24.009 > [   149][E][Wire.cpp:481] requestFrom(): NULL buffer pointer
21:22:24.009 > [   155][E][Wire.cpp:422] beginTransmission(): could not acquire lock
21:22:24.009 > [   161][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:22:24.009 > [   166][E][Wire.cpp:448] endTransmission(): NULL TX buffer pointer
21:22:24.009 > [   172][E][Wire.cpp:481] requestFrom(): NULL buffer pointer
21:22:24.009 > [   177][E][Wire.cpp:422] beginTransmission(): could not acquire lock
21:22:24.009 > [   184][E][Wire.cpp:526] write(): NULL TX buffer pointer
21:22:24.009 > [   189][E][Wire.cpp:448] endTransmission(): NULL TX buffer pointer
